what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1585393784878
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1585393784878
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1585393784879
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1585393784879
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1585393784879
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1585393784880
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1585393784880
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1585393784880
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1585393784881
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1585393784881
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1585393784882
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1585393784882
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1585393784883
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1585393784884
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1585393784884
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1585393784884
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1585393784884
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1585393784885
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1585393784885
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1585393784886
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1585393784886
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1585393784887
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1585393784888
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1585393784889
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1585393784890
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1585393784890
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1585393784891
os,sysinfo,,,"win32",1585393784892
arch,sysinfo,,,"x86",1585393784892
ws,sysinfo,,,"win32",1585393784892
locale,sysinfo,,,"en_US",1585393784892
processors,sysinfo,,,"4",1585393784892
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1585393784892
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1585393784892
java.specification.name,sysinfo,,,"Java Platform API Specification",1585393784892
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1585393784892
java.specification.version,sysinfo,,,"1.6",1585393784892
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1585393784892
java.version,sysinfo,,,"1.6.0_20",1585393784892
java.vm.info,sysinfo,,,"mixed mode",1585393784892
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1585393784892
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1585393784892
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1585393784892
java.vm.specification.version,sysinfo,,,"1.0",1585393784892
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1585393784892
java.vm.version,sysinfo,,,"16.3-b01",1585393784892
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1585393784935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393800711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393815116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393824365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393849773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1585393849785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393853205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393856851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393863341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1585393874043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585393896223
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1585393896504
