what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041519645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041521664
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041522465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041529679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041530885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041532380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041533434
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041533980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041535667
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041538112
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041538956
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041543595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041549919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041552854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041557894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041575042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041575763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041591399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041596271
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1584041618132
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1584041618412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041621056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041665188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041680281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584041988064
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1584042021192
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584042038334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1584042038356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584042039165
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1584042048178
