what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1584628251866
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1584628251867
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1584628251868
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1584628251869
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1584628251870
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1584628251871
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1584628251871
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1584628251871
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1584628251872
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1584628251873
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1584628251873
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1584628251874
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1584628251874
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1584628251875
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1584628251876
os,sysinfo,,,"win32",1584628251878
arch,sysinfo,,,"x86",1584628251878
ws,sysinfo,,,"win32",1584628251878
locale,sysinfo,,,"en_US",1584628251878
processors,sysinfo,,,"4",1584628251879
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1584628251879
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1584628251879
java.specification.name,sysinfo,,,"Java Platform API Specification",1584628251879
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584628251879
java.specification.version,sysinfo,,,"1.6",1584628251879
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1584628251879
java.version,sysinfo,,,"1.6.0_20",1584628251879
java.vm.info,sysinfo,,,"mixed mode",1584628251879
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1584628251879
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1584628251879
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1584628251879
java.vm.specification.version,sysinfo,,,"1.0",1584628251879
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1584628251879
java.vm.version,sysinfo,,,"16.3-b01",1584628251879
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1584628251932
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1584628251952
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1584628252376
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1584628252424
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1584628252450
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1584628252657
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1584628252667
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1584628252900
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1584628252918
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1584628253090
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1584628253141
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1584628253149
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1584628435903
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628436026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628453370
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628526385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628530629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628548509
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1584628551868
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1584628551907
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628555105
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1584628555198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628563715
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1584628567697
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1584628567699
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1584628567820
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1584628567825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628567871
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1584628567882
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1584628567882
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1584628568685
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628570676
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628575458
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1584628579206
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628582594
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1584628582863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1584628585054
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628588198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628591063
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1584628593860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628593928
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1584628593939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1584628593939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628599145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628606060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628611268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628612302
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1584628612310
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1584628612310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628619268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1584628626308
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628626400
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628626462
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628666505
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628666713
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628671546
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628681932
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628689955
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628690149
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1584628699802
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1584628700054
